Id,Creation Time,Tags,params/model,params/num_epochs,params/batch_size,params/criterion,params/optimazer,params/lr,train/accuracy (last),val/accuracy (last),train/loss (last),val/loss (last),train/auc (last),val/auc (last),runtimel/training
KGC-1,2023-06-30 12:19:08,"ft",resnet50,20,12,CrossEntropyLoss,Adam,0.001,0.7382816471784442,0.7187881252541684,0.5746895330414047,0.5948533909671817,0.5046219360449494,0.4967246244302149,2402.827136993408
KGC-2,2023-06-30 13:00:01,"ft",resnet152,20,12,CrossEntropyLoss,Adam,0.001,0.7382816471784442,0.7187881252541684,0.5744969548158495,0.5941827691464271,0.5108583678253834,0.5151132001951357,5131.594432353973
KGC-3,2023-06-30 14:27:03,"ft",alexnet,20,12,CrossEntropyLoss,Adam,0.001,0.7382816471784442,0.7187881252541684,0.5749884268082395,0.5950174689680738,0.5,0.5,1066.6247165203094
KGC-4,2023-06-30 14:45:38,"ft",vgg19,20,12,CrossEntropyLoss,Adam,0.001,0.7382816471784442,0.7187881252541684,0.5748375166656405,0.5950204947824738,0.5,0.5,4935.611084222794
KGC-5,2023-06-30 16:09:22,"ft",squeezenet1_0,20,12,CrossEntropyLoss,Adam,0.001,0.7382816471784442,0.7187881252541684,0.5591061315926793,0.5752629455438034,0.5477363231116158,0.5626523730774069,1075.7226889133453
KGC-6,2023-06-30 16:28:05,"ft",densenet201,20,12,CrossEntropyLoss,Adam,0.001,0.7382816471784442,0.7187881252541684,0.5748371830311413,0.5950216165447972,0.498846390338609,0.4981472333784354,4278.215185165405
KGC-7,2023-06-30 17:40:36,"fe",resnet50,20,12,CrossEntropyLoss,Adam,0.001,0.7697000508388409,0.7641317608784058,0.5145308121334312,0.5211838155003183,0.7200064898987224,0.7262309249208156,959.9477348327637
KGC-8,2023-06-30 17:57:24,"fe",resnet152,20,12,CrossEntropyLoss,Adam,0.001,0.7701576004067107,0.7661651077673851,0.5081488582617629,0.5141696985924618,0.7372696699924355,0.7340570127666625,1959.2721428871155
KGC-9,2023-06-30 18:31:34,"fe",alexnet,20,12,CrossEntropyLoss,Adam,0.001,0.7487544483985765,0.7401382675884506,0.5449660807741918,0.5483403458930749,0.6764085239157542,0.6883219248482022,935.3187313079834
KGC-10,2023-06-30 18:47:58,"fe",vgg19,20,12,CrossEntropyLoss,Adam,0.001,0.7467717336044738,0.7368849125660838,0.545561461613514,0.5515187588126836,0.6747268391756065,0.6822599334615829,1796.656977891922
KGC-11,2023-06-30 19:19:22,"fe",squeezenet1_0,20,12,CrossEntropyLoss,Adam,0.001,0.7751906456532791,0.7535583570557137,0.5059350838455744,0.5621887525197402,0.7072295369017584,0.6951963681028779,931.2765815258026
KGC-12,2023-06-30 19:35:42,"fe",densenet201,20,12,CrossEntropyLoss,Adam,0.001,0.768174885612608,0.7633184221228141,0.5121478383712013,0.5219152767927776,0.7281617409354636,0.7322416778399252,1633.546547651291
