Id,Creation Time,Tags,params/model,params/epochs,params/batch size,params/criterion,params/optimazer,params/lr,train/accuracy (last),val/accuracy (last),train/auc,val/auc,train/runtime
KAG-1,2023-07-01 17:25:18,"[""fe"",""transf 0""]",alexnet,,,CrossEntropyLoss,Adam,0.001,0.7466192170818505,0.7578283855225701,0.6811158577080859,0.6830587678641384,15.0
KAG-2,2023-07-01 17:41:11,"[""fe"",""transf 0""]",convnext_large,,,CrossEntropyLoss,Adam,0.001,0.7941535332994407,0.8111020740138267,0.787440206293133,0.7912374991308537,77.0
KAG-3,2023-07-01 19:02:33,"[""fe"",""transf 0""]",densenet201,,,CrossEntropyLoss,Adam,0.001,0.7671581087951195,0.7814152094347295,0.7318314411536251,0.7380288861867621,30.0
KAG-4,2023-07-01 19:34:26,"[""fe"",""transf 0""]",efficientnet_v2_l,,,CrossEntropyLoss,Adam,0.001,0.7546517539400102,0.7864985766571777,0.7364840005233514,0.7737377662343828,209.0
KAG-5,2023-07-01 23:18:33,"[""fe"",""transf 0""]",googlenet,,,CrossEntropyLoss,Adam,0.001,0.7594814438230808,0.7779585197234649,0.7186062361605893,0.7338339828612808,21.0
KAG-6,2023-07-01 23:41:18,"[""fe"",""transf 0""]",mnasnet1_3,,,CrossEntropyLoss,Adam,0.001,0.758922216573462,0.7759251728344856,0.7150041752166691,0.7346517224361877,15.0
KAG-7,2023-07-01 23:57:52,"[""fe"",""transf 0""]",maxvit_t,,,CrossEntropyLoss,Adam,0.001,0.7686324351804779,0.7696217974786499,0.7175221902580486,0.7236299920801683,32.0
KAG-8,2023-07-02 00:32:02,"[""fe"",""transf 0""]",mobilenet_v3_large,,,CrossEntropyLoss,Adam,0.001,0.7676156583629893,0.7779585197234649,0.7370985937419778,0.7431729609825339,15.0
KAG-9,2023-07-02 00:48:01,"[""fe"",""transf 0""]",resnext101_64x4d,,,CrossEntropyLoss,Adam,0.001,0.7758515505846466,0.7722651484343229,0.7314056452374209,0.7365231430369078,46.0
KAG-10,2023-07-02 01:36:33,"[""fe"",""transf 0""]",resnet152,,,CrossEntropyLoss,Adam,0.001,0.7729028978139298,0.7820252135014233,0.7349723567864246,0.7305215811172219,30.0
KAG-11,2023-07-02 02:08:47,"[""fe"",""transf 0""]",shufflenet_v2_x2_0,,,CrossEntropyLoss,Adam,0.001,0.7720386375190645,0.7820252135014233,0.7352970465434804,0.7384060109317419,15.0
KAG-12,2023-07-02 02:24:49,"[""fe"",""transf 0""]",squeezenet1_1,,,CrossEntropyLoss,Adam,0.001,0.7654804270462633,0.7596583977226514,0.6816491327440664,0.6842422908833751,15.0
KAG-13,2023-07-02 02:40:51,"[""fe"",""transf 0""]",swin_v2_b,,,CrossEntropyLoss,Adam,0.001,0.7815455007625826,0.7942252948352989,0.7554128794089443,0.7628979206626203,59.0
KAG-14,2023-07-02 03:43:13,"[""fe"",""transf 0""]",vgg19,,,CrossEntropyLoss,Adam,0.001,0.752618200305033,0.7751118340788938,0.7103359484333414,0.71409492605048,27.0
KAG-15,2023-07-02 04:12:06,"[""fe"",""transf 0""]",wide_resnet101_2,,,CrossEntropyLoss,Adam,0.001,0.7694966954753432,0.777551850345669,0.7194803850937643,0.7337976271031224,42.0
KAG-17,2023-07-02 12:16:35,"[""fe"",""transf 0"",""WRS""]",alexnet,20,12,CrossEntropyLoss,Adam,0.001,0.6133706151499746,0.6988613257421716,0.6441631238372021,0.6652743365233127,14.0
KAG-18,2023-07-02 12:32:23,"[""fe"",""transf 0"",""WRS""]",convnext_large,20,12,CrossEntropyLoss,Adam,0.001,0.702846975088968,0.771655144367629,0.751662777193765,0.7624158623882618,75.0
KAG-19,2023-07-02 13:51:48,"[""fe"",""transf 0"",""WRS""]",densenet201,20,12,CrossEntropyLoss,Adam,0.001,0.657244534824606,0.7688084587230581,0.7311361787838095,0.7345267561421092,23.0
KAG-20,2023-07-02 14:16:54,"[""fe"",""transf 0"",""WRS""]",efficientnet_v2_l,20,12,CrossEntropyLoss,Adam,0.001,0.6350788002033554,0.7797885319235461,0.7326793215990323,0.7681408873603219,161.0
KAG-21,2023-07-02 17:06:27,"[""fe"",""transf 0"",""WRS""]",googlenet,20,12,CrossEntropyLoss,Adam,0.001,0.6374682257244535,0.7399349328995527,0.705522874296264,0.7287637855099304,19.0
KAG-22,2023-07-02 17:27:10,"[""fe"",""transf 0"",""WRS""]",mnasnet1_3,20,12,CrossEntropyLoss,Adam,0.001,0.6480427046263345,0.7346482309882065,0.7047008390854456,0.7293123016862288,15.0
KAG-23,2023-07-02 17:43:07,"[""fe"",""transf 0"",""WRS""]",maxvit_t,20,12,CrossEntropyLoss,Adam,0.001,0.6622267412302999,0.7551850345668971,0.7192824750075822,0.7280966626473945,29.0
KAG-24,2023-07-02 18:14:07,"[""fe"",""transf 0"",""WRS""]",mobilenet_v3_large,20,12,CrossEntropyLoss,Adam,0.001,0.6607524148449415,0.7427816185441236,0.716614818499259,0.7193803961272531,15.0
KAG-25,2023-07-02 18:30:04,"[""fe"",""transf 0"",""WRS""]",resnext101_64x4d,20,12,CrossEntropyLoss,Adam,0.001,0.6698525673614641,0.7533550223668157,0.7372581790771395,0.7284629760590443,46.0
KAG-31,2023-07-02 19:18:37,"[""fe"",""transf 0"",""WRS""]",resnet152,20,12,CrossEntropyLoss,Adam,0.001,0.662582613116421,0.7458316388775925,0.7413448026577389,0.7339642488285603,30.0
KAG-32,2023-07-02 19:50:49,"[""fe"",""transf 0"",""WRS""]",shufflenet_v2_x2_0,20,12,CrossEntropyLoss,Adam,0.001,0.6608540925266904,0.7771451809678731,0.7289872425990236,0.7305808314636086,15.0
KAG-33,2023-07-02 20:06:57,"[""fe"",""transf 0"",""WRS""]",squeezenet1_1,20,12,CrossEntropyLoss,Adam,0.001,0.6531774275546517,0.6272875152501016,0.688363513773929,0.6801818932637338,16.0
KAG-34,2023-07-02 20:24:17,"[""fe"",""transf 0"",""WRS""]",swin_v2_b,20,12,CrossEntropyLoss,Adam,0.001,0.675902389425521,0.7474583163887759,0.7347416655527359,0.72277027909351,121.0
KAG-38,2023-07-02 22:30:41,"[""fe"",""transf 0"",""WRS""]",vgg19,20,12,CrossEntropyLoss,Adam,0.001,0.6360447381799694,0.7301748678324522,0.696473947984631,0.7071423907716153,33.0
KAG-40,2023-07-02 23:05:29,"[""fe"",""transf 0"",""WRS""]",wide_resnet101_2,20,12,CrossEntropyLoss,Adam,0.001,0.6673614641586172,0.7265148434322896,0.7254626102917507,0.7263802044910703,42.0
KAG-29,2023-07-02 18:50:52,"[""fe"",""transf 0"",""IDS""]",alexnet,20,12,CrossEntropyLoss,Adam,0.001,0.6108286731062531,0.7019113460756405,0.6613117210637335,0.6636314378310176,15.0
