Id,Creation Time,Tags,params/model,params/epochs,params/batch size,params/criterion,params/optimazer,params/lr,train/accuracy (last),val/accuracy (last),train/auc,val/auc,train/runtime
KAG-30,2023-07-02 19:06:55,"[""fe"",""transf 0"",""IDS""]",convnext_large,20,12,CrossEntropyLoss,Adam,0.001,0.701779359430605,0.7590483936559577,0.7829656029798273,0.7808319087811768,117.0
KAG-35,2023-07-02 21:13:50,"[""fe"",""transf 0"",""IDS""]",densenet201,20,12,CrossEntropyLoss,Adam,0.001,0.6653787493645145,0.7708418056120374,0.7207906759005334,0.7378420197096967,40.0
KAG-36,2023-07-02 21:56:38,"[""fe"",""transf 0"",""IDS""]",googlenet,20,12,CrossEntropyLoss,Adam,0.001,0.6325368581596339,0.7590483936559577,0.6989421998739566,0.7215219940677577,26.0
KAG-37,2023-07-02 22:24:39,"[""fe"",""transf 0"",""IDS""]",mnasnet1_3,20,12,CrossEntropyLoss,Adam,0.001,0.6452465683782409,0.7427816185441236,0.7139992533744217,0.7335867001097244,16.0
KAG-39,2023-07-02 22:41:33,"[""fe"",""transf 0"",""IDS""]",maxvit_t,20,12,CrossEntropyLoss,Adam,0.001,0.6682257244534824,0.6996746644977633,0.700783780052862,0.7043795651384953,31.0
KAG-41,2023-07-02 23:14:42,"[""fe"",""transf 0"",""IDS""]",mobilenet_v3_large,20,12,CrossEntropyLoss,Adam,0.001,0.65510930350788,0.7405449369662465,0.7426440623461921,0.7375187396444386,15.0
KAG-42,2023-07-02 23:30:56,"[""fe"",""transf 0"",""IDS""]",resnext101_64x4d,20,12,CrossEntropyLoss,Adam,0.001,0.6710726995424504,0.70882472549817,0.7392010111035294,0.7274490425822383,48.0
KAG-43,2023-07-03 00:21:50,"[""fe"",""transf 0"",""IDS""]",resnet152,20,12,CrossEntropyLoss,Adam,0.001,0.6680223690899847,0.744611630744205,0.7329627165119691,0.733667573122771,30.0
KAG-44,2023-07-03 00:53:34,"[""fe"",""transf 0"",""IDS""]",shufflenet_v2_x2_0,20,12,CrossEntropyLoss,Adam,0.001,0.6673614641586172,0.7574217161447743,0.713734787112622,0.7181242675851637,15.0
KAG-45,2023-07-03 01:09:36,"[""fe"",""transf 0"",""IDS""]",squeezenet1_1,20,12,CrossEntropyLoss,Adam,0.001,0.6489069649211998,0.6116307442049613,0.6959324419604828,0.6881107343396777,15.0
KAG-46,2023-07-03 01:25:38,"[""fe"",""transf 0"",""IDS""]",swin_v2_b,20,12,CrossEntropyLoss,Adam,0.001,0.6679206914082358,0.7403416022773485,0.738046237368783,0.7451317201976058,58.0
KAG-47,2023-07-03 02:27:01,"[""fe"",""transf 0"",""IDS""]",vgg19,20,12,CrossEntropyLoss,Adam,0.001,0.6333502796136248,0.7336315575437169,0.6793635002256285,0.693625044305268,27.0
KAG-48,2023-07-03 02:55:23,"[""fe"",""transf 0"",""IDS""]",wide_resnet101_2,20,12,CrossEntropyLoss,Adam,0.001,0.6564819522114895,0.7344448962993086,0.6914739881106277,0.6935419454294771,41.0
KAG-49,2023-07-03 10:41:27,"[""fe"",""transf 1"",""WRS""]",alexnet,,12,CrossEntropyLoss,Adam,0.001,0.6136248093543467,0.6903212688084587,0.6534634991506783,0.6549870348794813,15.0
KAG-51,2023-07-03 10:58:14,"[""fe"",""transf 1"",""WRS""]",convnext_large,,12,CrossEntropyLoss,Adam,0.001,0.6990849008642602,0.7765351769011793,0.7801711903149477,0.7804722729577602,178.0
KAG-54,2023-07-03 14:06:16,"[""fe"",""transf 1"",""WRS""]",densenet201,,12,CrossEntropyLoss,Adam,0.001,0.6623792577529232,0.7578283855225701,0.740040914479944,0.7434142021066412,36.0
KAG-56,2023-07-03 14:44:02,"[""fe"",""transf 1"",""WRS""]",googlenet,,12,CrossEntropyLoss,Adam,0.001,0.6383324860193187,0.7511183407889386,0.7100761552071894,0.7275545060789371,20.0
KAG-58,2023-07-03 15:05:44,"[""fe"",""transf 1"",""WRS""]",mnasnet1_3,,12,CrossEntropyLoss,Adam,0.001,0.648805287239451,0.7537616917446116,0.7088830623195951,0.7346663495342223,15.0
KAG-60,2023-07-03 15:22:16,"[""fe"",""transf 1"",""WRS""]",maxvit_t,,12,CrossEntropyLoss,Adam,0.001,0.6675648195221149,0.5884505896705978,0.7149186568544912,0.7059656513340762,29.0
KAG-62,2023-07-03 15:53:38,"[""fe"",""transf 1"",""WRS""]",mobilenet_v3_large,,12,CrossEntropyLoss,Adam,0.001,0.6661413319776309,0.741764945099634,0.7445066026869813,0.7438723058581316,15.0
KAG-64,2023-07-03 16:10:11,"[""fe"",""transf 1"",""WRS""]",resnext101_64x4d,,12,CrossEntropyLoss,Adam,0.001,0.6718861209964413,0.7240748271655144,0.7249245464849232,0.7168149303241365,46.0
KAG-65,2023-07-03 16:59:21,"[""fe"",""transf 1"",""WRS""]",resnet152,,12,CrossEntropyLoss,Adam,0.001,0.6677173360447382,0.7183814558763725,0.7335409741579728,0.725827554569675,31.0
KAG-67,2023-07-03 17:31:53,"[""fe"",""transf 1"",""WRS""]",shufflenet_v2_x2_0,,12,CrossEntropyLoss,Adam,0.001,0.6698017285205897,0.7781618544123627,0.7388204496203536,0.7363346866578819,16.0
KAG-69,2023-07-03 17:49:10,"[""fe"",""transf 1"",""WRS""]",squeezenet1_1,,12,CrossEntropyLoss,Adam,0.001,0.6472292831723436,0.6061407076047174,0.6929126198906929,0.6944259309193959,16.0
KAG-71,2023-07-03 18:06:52,"[""fe"",""transf 1"",""WRS""]",swin_v2_b,,12,CrossEntropyLoss,Adam,0.001,0.6766141331977631,0.7358682391215942,0.7422181558031247,0.7466291958572665,123.0
KAG-73,2023-07-03 20:13:37,"[""fe"",""transf 1"",""WRS""]",vgg19,,12,CrossEntropyLoss,Adam,0.001,0.6389933909506863,0.7466449776331842,0.7024692800423991,0.712903453521442,27.0
KAG-75,2023-07-03 20:42:35,"[""fe"",""transf 1"",""WRS""]",wide_resnet101_2,,12,CrossEntropyLoss,Adam,0.001,0.6616675139806812,0.7322082147214315,0.7229889267200905,0.7296236044900527,61.0
KAG-50,2023-07-03 10:44:01,"[""fe"",""transf 1"",""IDS""]",alexnet,20,12,CrossEntropyLoss,Adam,0.001,0.6149974580579562,0.6685644570963807,0.671495071070717,0.6688526758685952,16.0
KAG-52,2023-07-03 11:00:56,"[""fe"",""transf 1"",""IDS""]",convnext_large,20,12,CrossEntropyLoss,Adam,0.001,0.6997966446365023,0.7797885319235461,0.7893036579456726,0.7875889921123903,173.0
KAG-53,2023-07-03 14:03:54,"[""fe"",""transf 1"",""IDS""]",densenet201,20,12,CrossEntropyLoss,Adam,0.001,0.6628876461616675,0.7661651077673851,0.7389444467418611,0.7491250239545229,35.0
KAG-55,2023-07-03 14:40:34,"[""fe"",""transf 1"",""IDS""]",googlenet,20,12,CrossEntropyLoss,Adam,0.001,0.633858668022369,0.7631150874339162,0.7178625107897925,0.72927382605879,20.0
KAG-57,2023-07-03 15:02:09,"[""fe"",""transf 1"",""IDS""]",mnasnet1_3,20,12,CrossEntropyLoss,Adam,0.001,0.640264361972547,0.7588450589670598,0.6865388910394489,0.7090594945553278,15.0
KAG-59,2023-07-03 15:18:43,"[""fe"",""transf 1"",""IDS""]",maxvit_t,20,12,CrossEntropyLoss,Adam,0.001,0.6654295882053889,0.7618950793005287,0.7211566853245368,0.7230566734332894,30.0
KAG-61,2023-07-03 15:50:51,"[""fe"",""transf 1"",""IDS""]",mobilenet_v3_large,20,12,CrossEntropyLoss,Adam,0.001,0.6619725470259278,0.7448149654331029,0.7424155915737516,0.7395647314803979,15.0
KAG-63,2023-07-03 16:07:24,"[""fe"",""transf 1"",""IDS""]",resnext101_64x4d,20,12,CrossEntropyLoss,Adam,0.001,0.6672089476359939,0.7431882879219195,0.7402122216853592,0.7353843492594873,54.0
KAG-66,2023-07-03 17:04:29,"[""fe"",""transf 1"",""IDS""]",resnet152,20,12,CrossEntropyLoss,Adam,0.001,0.6701067615658363,0.7122814152094348,0.7232011403345533,0.7127201908221531,35.0
KAG-68,2023-07-03 17:42:18,"[""fe"",""transf 1"",""IDS""]",shufflenet_v2_x2_0,20,12,CrossEntropyLoss,Adam,0.001,0.6658871377732587,0.7478649857665718,0.7375465329297239,0.7318319783128894,16.0
KAG-70,2023-07-03 18:00:01,"[""fe"",""transf 1"",""IDS""]",squeezenet1_1,20,12,CrossEntropyLoss,Adam,0.001,0.6500762582613117,0.6193574623830825,0.7088943389056812,0.6988620753689844,17.0
KAG-72,2023-07-03 18:18:05,"[""fe"",""transf 1"",""IDS""]",swin_v2_b,20,12,CrossEntropyLoss,Adam,0.001,0.672089476359939,0.7423749491663277,0.7668353338838403,0.7516579497641858,120.0
KAG-74,2023-07-03 20:22:14,"[""fe"",""transf 1"",""IDS""]",vgg19,20,12,CrossEntropyLoss,Adam,0.001,0.6371123538383324,0.7291581943879626,0.6935647233865682,0.7151800871351068,29.0
KAG-76,2023-07-03 20:53:15,"[""fe"",""transf 1"",""IDS""]",wide_resnet101_2,20,12,CrossEntropyLoss,Adam,0.001,0.6640061006609049,0.7468483123220822,0.7089370016762924,0.7230395024921183,67.0
KAG-77,2023-07-03 22:19:24,"[""fe"",""transf 1""]",alexnet,20,12,CrossEntropyLoss,Adam,0.001,0.7493645144890696,0.7521350142334282,0.6568903065745171,0.6767491889380133,15.0
KAG-78,2023-07-03 22:35:51,"[""fe"",""transf 1""]",convnext_large,20,12,CrossEntropyLoss,Adam,0.001,0.7951703101169293,0.8086620577470517,0.7847822908541059,0.7899084470855189,75.0
KAG-79,2023-07-03 23:54:57,"[""fe"",""transf 1""]",densenet201,20,12,CrossEntropyLoss,Adam,0.001,0.7733096085409252,0.7820252135014233,0.738793092426147,0.7461878390730913,23.0
KAG-80,2023-07-04 00:19:44,"[""fe"",""transf 1""]",googlenet,20,12,CrossEntropyLoss,Adam,0.001,0.757956278596848,0.7785685237901586,0.7177855021770418,0.734196798488618,19.0
KAG-81,2023-07-04 00:40:34,"[""fe"",""transf 1""]",mnasnet1_3,20,12,CrossEntropyLoss,Adam,0.001,0.7584138281647178,0.7787718584790565,0.7080338787116948,0.7372719868602022,15.0
KAG-82,2023-07-04 00:56:35,"[""fe"",""transf 1""]",maxvit_t,20,12,CrossEntropyLoss,Adam,0.001,0.7708693441789527,0.7629117527450183,0.7247825823408705,0.7299958535356876,29.0
KAG-83,2023-07-04 01:27:08,"[""fe"",""transf 1""]",mobilenet_v3_large,20,12,CrossEntropyLoss,Adam,0.001,0.7657346212506354,0.7803985359902399,0.7427263022088404,0.745651194164763,15.0
KAG-84,2023-07-04 01:43:11,"[""fe"",""transf 1""]",resnext101_64x4d,20,12,CrossEntropyLoss,Adam,0.001,0.7759532282663955,0.7726718178121187,0.7379673965429008,0.7287602877256176,45.0
KAG-85,2023-07-04 02:30:50,"[""fe"",""transf 1""]",resnet152,20,12,CrossEntropyLoss,Adam,0.001,0.7753940010167768,0.7867019113460756,0.737764018277545,0.729647135039065,30.0
KAG-86,2023-07-04 03:02:32,"[""fe"",""transf 1""]",shufflenet_v2_x2_0,20,12,CrossEntropyLoss,Adam,0.001,0.774224707676665,0.785888572590484,0.7157684866371536,0.7434963470412561,15.0
KAG-87,2023-07-04 03:18:37,"[""fe"",""transf 1""]",squeezenet1_1,20,12,CrossEntropyLoss,Adam,0.001,0.7661413319776309,0.7590483936559577,0.7068512307863022,0.7063088581705699,15.0
KAG-88,2023-07-04 03:34:39,"[""fe"",""transf 1""]",swin_v2_b,20,12,CrossEntropyLoss,Adam,0.001,0.7768683274021352,0.7923952826352175,0.7492365001051671,0.7491728270067954,58.0
KAG-89,2023-07-04 04:35:59,"[""fe"",""transf 1""]",vgg19,20,12,CrossEntropyLoss,Adam,0.001,0.7531265887137772,0.774908499389996,0.7076406034438498,0.7126338061489776,27.0
KAG-90,2023-07-04 05:04:19,"[""fe"",""transf 1""]",wide_resnet101_2,20,12,CrossEntropyLoss,Adam,0.001,0.7753431621759024,0.7830418869459129,0.7291966591641947,0.7404200987350317,41.0
KAG-92,2023-07-04 10:43:35,"[""fe"",""transf 2""]",convnext_large,20,12,CrossEntropyLoss,Adam,0.001,0.8160142348754448,0.7779585197234649,0.8097683243320233,0.7545377921815829,77.0
KAG-93,2023-07-04 12:04:39,"[""fe"",""transf 2""]",densenet201,20,12,CrossEntropyLoss,Adam,0.001,0.7825114387391967,0.7492883285888573,0.7676799872805776,0.678818287349129,24.0
KAG-94,2023-07-04 12:30:01,"[""fe"",""transf 2""]",resnext101_64x4d,20,12,CrossEntropyLoss,Adam,0.001,0.7947635993899339,0.7364782431882879,0.7872927603630998,0.5114720965846362,47.0
KAG-95,2023-07-04 13:19:32,"[""fe"",""transf 2""]",resnet152,20,12,CrossEntropyLoss,Adam,0.001,0.7817996949669547,0.7222448149654331,0.7710585573723794,0.6595273709042004,31.0
KAG-96,2023-07-04 13:52:11,"[""fe"",""transf 2""]",shufflenet_v2_x2_0,20,12,CrossEntropyLoss,Adam,0.001,0.791204880528724,0.7350549003660024,0.7610787262690853,0.5137755465446979,18.0
KAG-97,2023-07-04 14:12:02,"[""fe"",""transf 2""]",swin_v2_b,20,12,CrossEntropyLoss,Adam,0.001,0.7902897813929842,0.760878405856039,0.7544271109189948,0.71059841365942,60.0
KAG-98,2023-07-04 15:15:26,"[""fe"",""transf 2""]",wide_resnet101_2,20,12,CrossEntropyLoss,Adam,0.001,0.7830198271479409,0.7344448962993086,0.7591222406057625,0.6798574472703715,42.0
KAG-101,2023-07-04 18:16:57,"[""fe"",""transf 0""]",convnext_large,10,12,CrossEntropyLoss,Adadelta,1.0,0.7882053889171327,0.805002033346889,0.7763598006628012,0.7773605168410894,40.0
KAG-102,2023-07-04 18:17:27,"[""fe"",""transf 0""]",convnext_large,10,12,CrossEntropyLoss,NAdam,0.002,0.7920183019827147,0.8090687271248475,0.7817423091382757,0.7852780166163833,50.0
KAG-103,2023-07-04 19:01:16,"[""fe"",""transf 0""]",convnext_large,10,12,CrossEntropyLoss,Adagrad,0.01,0.7911032028469751,0.8045953639690931,0.7716055256616006,0.7771046486189476,39.0
KAG-104,2023-07-04 19:13:31,"[""fe"",""transf 0""]",convnext_large,10,12,CrossEntropyLoss,RAdam,0.001,0.7911540416878495,0.8054087027246848,0.771352482026363,0.7780131185990546,50.0
KAG-105,2023-07-04 19:45:06,"[""fe"",""transf 0""]",convnext_large,10,12,CrossEntropyLoss,AdamW,0.001,0.79288256227758,0.8106954046360308,0.7825402806553815,0.7889032050727625,39.0
KAG-106,2023-07-04 20:09:21,"[""fe"",""transf 0""]",convnext_large,10,12,CrossEntropyLoss,RMSprop,0.01,0.7710726995424504,0.7936152907686052,0.7471886068423207,0.7541485841817049,43.0
KAG-108,2023-07-04 20:56:39,"[""fe"",""transf 0""]",convnext_large,10,12,CrossEntropyLoss,Rprop,0.01,0.7014743263853583,0.7458316388775925,0.6033590736020642,0.6184941211785115,40.0
KAG-109,2023-07-04 21:25:29,"[""fe"",""transf 0""]",convnext_large,10,12,CrossEntropyLoss,Adamax,0.002,0.7916115912557193,0.8094753965026433,0.7888929829529928,0.785208166923595,39.0
KAG-110,2023-07-04 21:41:52,"[""fe"",""transf 0""]",convnext_large,10,12,CrossEntropyLoss,SGD,0.001,0.7747330960854092,0.7974786498576657,0.7556745881507319,0.7682429590661721,50.0
KAG-111,2023-07-04 22:08:44,"[""fe"",""transf 0""]",convnext_large,10,12,CrossEntropyLoss,ASGD,0.01,0.7846975088967971,0.8068320455469703,0.77783981808576,0.7803502744806743,39.0
KAG-112,2023-07-04 22:37:38,"[""fe"",""transf 1""]",convnext_large,10,12,CrossEntropyLoss,NAdam,0.002,0.789679715302491,0.8056120374135828,0.7754176293182687,0.7803852523238007,49.0
KAG-113,2023-07-04 22:55:27,"[""fe"",""transf 1""]",convnext_large,10,12,CrossEntropyLoss,Adadelta,1.0,0.7860193187595322,0.8054087027246848,0.7753685932948107,0.7694866863729715,39.0
KAG-114,2023-07-04 23:32:22,"[""fe"",""transf 1""]",convnext_large,10,12,CrossEntropyLoss,RAdam,0.001,0.7901881037112354,0.8090687271248475,0.7842726858683572,0.785320414001991,50.0
KAG-115,2023-07-04 23:38:48,"[""fe"",""transf 1""]",convnext_large,10,12,CrossEntropyLoss,Adagrad,0.01,0.7892730045754957,0.807645384302562,0.7749961792047381,0.7778186205925798,39.0
KAG-116,2023-07-05 00:22:24,"[""fe"",""transf 1""]",convnext_large,10,12,CrossEntropyLoss,AdamW,0.001,0.7923233350279614,0.8080520536803578,0.7772404351764902,0.783817002708345,39.0
KAG-117,2023-07-05 00:28:06,"[""fe"",""transf 1""]",convnext_large,10,12,CrossEntropyLoss,RMSprop,0.01,0.7518556176919166,0.7761285075233835,0.7373649662720002,0.7558343042334638,50.0
KAG-118,2023-07-05 01:05:59,"[""fe"",""transf 1""]",convnext_large,10,12,CrossEntropyLoss,Adamax,0.002,0.793238434163701,0.810492069947133,0.7880571049070803,0.7878941472953012,39.0
KAG-119,2023-07-05 01:23:47,"[""fe"",""transf 1""]",convnext_large,10,12,CrossEntropyLoss,Rprop,0.01,0.6773767158108794,0.681577877185848,0.5900617587582664,0.6173644428389967,50.0
KAG-120,2023-07-05 01:49:37,"[""fe"",""transf 1""]",convnext_large,10,12,CrossEntropyLoss,ASGD,0.01,0.7868835790543975,0.8058153721024807,0.7677633326211781,0.7792783625790498,39.0
KAG-121,2023-07-05 02:19:36,"[""fe"",""transf 1""]",convnext_large,10,12,CrossEntropyLoss,SGD,0.001,0.7740721911540417,0.7948352989019927,0.7615326109098859,0.7687269252228831,50.0
KAG-122,2023-07-05 02:33:16,"[""fe"",""transf 2""]",convnext_large,10,12,CrossEntropyLoss,Adadelta,1.0,0.8038637519064565,0.7799918666124441,0.8001968661860448,0.7455455186811362,39.0
KAG-123,2023-07-05 03:15:38,"[""fe"",""transf 2""]",convnext_large,10,12,CrossEntropyLoss,NAdam,0.002,0.8085917641077783,0.7806018706791379,0.7936664497077679,0.7677536932362603,50.0
KAG-124,2023-07-05 03:16:47,"[""fe"",""transf 2""]",convnext_large,10,12,CrossEntropyLoss,Adagrad,0.01,0.8028978139298424,0.7877185847905652,0.8051902265812743,0.7618189071989065,39.0
KAG-125,2023-07-05 04:00:19,"[""fe"",""transf 2""]",convnext_large,10,12,CrossEntropyLoss,AdamW,0.001,0.8088967971530249,0.7903619357462383,0.7878349654935981,0.7521804975417995,39.0
KAG-126,2023-07-05 04:11:32,"[""fe"",""transf 2""]",convnext_large,10,12,CrossEntropyLoss,RAdam,0.001,0.8104219623792577,0.788531923546157,0.7956973771159702,0.7630495973096314,50.0
KAG-127,2023-07-05 04:43:45,"[""fe"",""transf 2""]",convnext_large,10,12,CrossEntropyLoss,Adamax,0.002,0.8086934417895272,0.7921919479463196,0.8148562523082936,0.7604823296176264,39.0
KAG-128,2023-07-05 05:07:12,"[""fe"",""transf 2""]",convnext_large,10,12,CrossEntropyLoss,RMSprop,0.01,0.7813929842399593,0.7730784871899146,0.7501642031066527,0.7184456397680694,50.0
KAG-129,2023-07-05 05:27:18,"[""fe"",""transf 2""]",convnext_large,10,12,CrossEntropyLoss,ASGD,0.01,0.799288256227758,0.7838552257015047,0.8040873731577126,0.7611818864801521,39.0
KAG-130,2023-07-05 06:02:48,"[""fe"",""transf 2""]",convnext_large,10,12,CrossEntropyLoss,Rprop,0.01,0.6973563802745297,0.7511183407889386,0.6493587059312588,0.6650080809416968,40.0
KAG-131,2023-07-05 06:46:54,"[""fe"",""transf 2""]",convnext_large,10,12,CrossEntropyLoss,SGD,0.001,0.7874428063040162,0.7848718991459943,0.7795445188066928,0.7377855251933745,37.0
KAG-134,2023-07-05 13:37:49,"[""fe"",""transf 0""]",convnext_large,20,12,CrossEntropyLoss,Adadelta,1.0,0.7941026944585663,0.8090687271248475,0.7780691717966681,0.7882352342625145,77.0
KAG-135,2023-07-05 14:59:28,"[""fe"",""transf 0""]",convnext_large,20,12,CrossEntropyLoss,Adagrad,0.01,0.7911540416878495,0.8098820658804392,0.7753459500729545,0.7827276018851573,75.0
KAG-136,2023-07-05 16:18:53,"[""fe"",""transf 0""]",convnext_large,20,12,CrossEntropyLoss,AdamW,0.001,0.7962379257752923,0.8117120780805205,0.7848968981502185,0.7927461041042365,76.0
KAG-137,2023-07-05 17:38:48,"[""fe"",""transf 0""]",convnext_large,20,12,CrossEntropyLoss,Adamax,0.002,0.7986273512963904,0.8117120780805205,0.7919617158633391,0.7926163681042773,76.0
KAG-139,2023-07-05 22:29:56,"[""fe"",""transf 1""]",convnext_large,20,12,CrossEntropyLoss,Adadelta,1.0,0.7914082358922216,0.8066287108580724,0.781309206178857,0.7778887882657604,75.0
KAG-140,2023-07-05 23:49:04,"[""fe"",""transf 1""]",convnext_large,20,12,CrossEntropyLoss,Adagrad,0.01,0.7891204880528724,0.8088653924359496,0.7798168071930983,0.7831100263033379,75.0
